**94;7;TOOLONG           FU      Z99 
Beyonc                   NP1     Z99 
bust-up                  NN1     Z99 
CelebrityGet             VV0     Z99 
CMCHUGH@REXFEATURES.COM  FO      Z99 
EMBARGOED                VVN     Z99 
forlornly                RR      Z99 
Im                       NP1     Z99 
Im                       VV0     Z99 
McPartlin                NP1     Z99 
meatballs                NN2     Z99 
mispronunciation         NN1     Z99 
O2                       FO      Z99 
PJ                       NP1     Z99 
Rhumble                  NP1     Z99 
shane.chapman@itv.com    FO      Z99 
SMTV                     NP1     Z99 
West/PA                  FU      Z99 
